,temp_C_mean,temp_C_min,temp_C_max,wind_speed_mean,wind_speed_min,wind_speed_max,precip_mm_sum
2023-02-18 00:00:00+00:00,13.115575,10.020599,17.637878,2.7907574,1.7666183,3.4996,0.018270344
2023-02-19 00:00:00+00:00,13.031405,9.038574,18.083527,2.3651683,1.6071601,3.134041,0.013445405
2023-02-20 00:00:00+00:00,13.2592535,10.408813,17.632294,1.9127833,0.937337,2.8258214,0.101800516
2023-02-21 00:00:00+00:00,12.0508795,8.327087,16.856537,1.5178102,0.15834945,3.2261004,0.12817803
2023-02-22 00:00:00+00:00,10.949894,7.7838135,15.215027,2.3495786,1.1787874,3.6221733,0.020028563
2023-02-23 00:00:00+00:00,7.8246207,3.722046,11.979675,3.9537249,1.7877278,5.4531455,0.015347144
2023-02-24 00:00:00+00:00,5.573755,0.07543945,11.890961,1.5557137,0.5382747,3.4542134,0.05581379
2023-02-25 00:00:00+00:00,6.449015,1.6178894,10.853363,1.6125932,0.5559011,3.3438005,0.068346195
2023-02-26 00:00:00+00:00,8.945386,4.6912537,14.30722,1.7847067,0.45983452,3.2814214,0.01121549
2023-02-27 00:00:00+00:00,7.4546103,3.3800354,12.278778,1.8624082,1.1386801,3.0615392,0.0011275796
2023-02-28 00:00:00+00:00,6.493383,1.0180664,12.523926,2.009127,1.2652402,2.524411,2.337437e-06
2023-03-01 00:00:00+00:00,5.805181,0.10366821,11.625824,1.9198303,1.1132872,2.5864909,0.00013183145
2023-03-02 00:00:00+00:00,6.599388,-0.91290283,13.949921,1.1813698,0.34990776,2.127789,2.8049244e-06
2023-03-03 00:00:00+00:00,7.975305,0.32724,15.789886,1.2020742,0.4198987,1.8889933,0.0
2023-03-04 00:00:00+00:00,9.823597,3.9866638,15.710999,1.6028062,0.50723517,2.3959663,0.11164114
2023-03-05 00:00:00+00:00,9.614063,7.803192,12.174316,2.3092167,1.1175442,3.7940924,0.6023748
2023-03-06 00:00:00+00:00,11.669605,9.069214,13.934143,2.859492,1.7524179,4.438669,0.323326
2023-03-07 00:00:00+00:00,13.321818,9.767975,17.019592,3.3435962,2.2892232,4.485579,0.18272866
2023-03-08 00:00:00+00:00,15.049243,13.543976,17.342834,4.7890716,3.7492774,6.30274,0.9955499
2023-03-09 00:00:00+00:00,15.262723,13.062775,18.207092,4.668482,2.8510737,6.253144,0.4398547
2023-03-10 00:00:00+00:00,14.865546,12.095673,19.162811,2.4726849,1.6603712,3.4570885,0.055527687
2023-03-11 00:00:00+00:00,15.332535,13.124878,18.522064,2.5819309,1.3585554,4.2018347,0.042720404
