,temp_C,u10,v10,wind_speed,precip_mm
2022-12-31 18:00:00+00:00,,,,,0.25328466
2023-01-01 00:00:00+00:00,13.474365,-1.0140158,3.9349904,4.063543,
2023-01-01 06:00:00+00:00,,,,,0.34115174
2023-01-01 12:00:00+00:00,16.02417,-0.5874151,5.259372,5.2920747,
2023-01-01 18:00:00+00:00,,,,,0.079250336
2023-01-02 00:00:00+00:00,10.373016,1.4511372,-1.0343283,1.7820309,
2023-01-02 06:00:00+00:00,,,,,0.0042410456
2023-01-02 12:00:00+00:00,11.897583,0.08880687,-1.5822775,1.5847678,
