date,avg_price_eur_mwh
2022-12-31,0.0
2023-01-01,18.194
2023-01-02,111.63000000000001
2023-01-03,136.43666666666667
2023-01-04,114.21791666666667
2023-01-05,109.02083333333333
2023-01-06,100.3408695652174
2023-01-07,22.143478260869564
2023-01-08,10.225555555555555
2023-01-09,97.78454545454547
2023-01-10,106.44125000000001
2023-01-11,92.64681818181818
2023-01-12,93.86347826086957
2023-01-13,89.32333333333334
2023-01-14,50.936521739130434
2023-01-15,21.924347826086954
2023-01-16,14.11
2023-01-17,5.634
2023-01-18,29.510000000000005
2023-01-19,34.848333333333336
2023-01-20,93.07478260869564
2023-01-21,57.7109090909091
2023-01-22,38.433749999999996
2023-01-23,74.64272727272727
2023-01-24,90.02652173913044
2023-01-25,93.43136363636364
2023-01-26,66.8004347826087
2023-01-27,45.68416666666667
2023-01-28,40.67272727272727
2023-01-29,74.04318181818182
2023-01-30,135.18
2023-01-31,130.12727272727273
2023-02-01,127.23297872340426
2023-02-02,138.89428571428573
2023-02-03,139.9275
2023-02-04,123.29
2023-02-05,92.4538888888889
2023-02-06,136.30916666666667
2023-02-07,136.01391304347825
2023-02-08,137.78782608695653
2023-02-09,144.83958333333334
2023-02-10,141.30666666666667
2023-02-11,132.75130434782608
2023-02-12,138.7018181818182
2023-02-13,146.58083333333335
2023-02-14,143.26304347826087
2023-02-15,145.94041666666666
2023-02-16,144.04125
2023-02-17,134.61875
2023-02-18,129.68772727272727
2023-02-19,122.89875
2023-02-20,135.71
2023-02-21,151.03333333333333
2023-02-22,144.24583333333334
2023-02-23,140.34041666666667
2023-02-24,149.10375
2023-02-25,142.1625
2023-02-26,107.0835
2023-02-27,120.8859090909091
2023-02-28,134.30347826086955
2023-03-01,145.94
2023-03-02,144.5742857142857
2023-03-03,143.44791666666666
2023-03-04,138.5304255319149
2023-03-05,144.12875
2023-03-06,147.31666666666666
2023-03-07,119.56
2023-03-08,99.49391304347827
2023-03-09,71.33217391304348
2023-03-10,45.369565217391305
2023-03-11,36.392857142857146
2023-03-12,79.76041666666667
2023-03-13,40.152857142857144
2023-03-14,71.22318181818183
2023-03-15,131.98875
2023-03-16,88.72260869565217
2023-03-17,73.49260869565217
2023-03-18,101.55666666666667
2023-03-19,99.10909090909091
2023-03-20,121.43041666666666
2023-03-21,118.84750000000001
2023-03-22,100.84249999999999
2023-03-23,82.43652173913043
2023-03-24,62.16217391304348
2023-03-25,43.544347826086955
2023-03-26,44.44611111111111
2023-03-27,107.62869565217392
2023-03-28,111.05130434782608
2023-03-29,71.44285714285714
2023-03-30,32.3125
2023-03-31,21.383478260869566
2023-04-01,33.089999999999996
2023-04-02,21.854736842105265
2023-04-03,66.05346153846155
2023-04-04,64.98825
2023-04-05,110.63652173913043
2023-04-06,98.67904761904762
2023-04-07,107.09210526315789
2023-04-08,86.80666666666667
2023-04-09,75.9295652173913
2023-04-10,52.86739130434783
2023-04-11,92.35166666666667
2023-04-12,45.8065
2023-04-13,70.87260869565218
2023-04-14,46.99454545454546
2023-04-15,22.383333333333333
2023-04-16,42.521904761904764
2023-04-17,80.03714285714285
2023-04-18,105.10947368421053
2023-04-19,115.16318181818183
2023-04-20,117.42136363636364
2023-04-21,100.4425
2023-04-22,78.00875
2023-04-23,65.185
2023-04-24,104.23095238095237
2023-04-25,94.23166666666667
2023-04-26,109.41782608695652
2023-04-27,110.37434782608696
2023-04-28,107.50041666666668
2023-04-29,88.81217391304348
2023-04-30,72.21173913043478
2023-05-01,92.93142857142857
2023-05-02,113.07454545454544
2023-05-03,82.085
2023-05-04,93.57423076923077
2023-05-05,100.96613636363637
2023-05-06,90.055
2023-05-07,68.74857142857142
2023-05-08,97.83708333333334
2023-05-09,91.05782608695652
2023-05-10,83.26208333333334
2023-05-11,82.97304347826088
2023-05-12,73.47791666666667
2023-05-13,54.17136363636364
2023-05-14,55.8285
2023-05-15,59.67454545454545
2023-05-16,46.25363636363637
2023-05-17,49.57375
2023-05-18,54.38409090909091
2023-05-19,63.29142857142857
2023-05-20,46.91090909090909
2023-05-21,43.3495652173913
2023-05-22,89.62875000000001
2023-05-23,83.92181818181818
2023-05-24,85.33833333333332
2023-05-25,75.15291666666667
2023-05-26,66.47708333333334
2023-05-27,87.175
2023-05-28,82.1447619047619
2023-05-29,96.54181818181819
2023-05-30,94.59818181818181
2023-05-31,88.41454545454545
2023-06-01,85.34636363636363
2023-06-02,88.0190909090909
2023-06-03,87.11263157894736
2023-06-04,81.33086956521738
2023-06-05,86.46217391304347
2023-06-06,86.5595652173913
2023-06-07,88.14958333333334
2023-06-08,81.52
2023-06-09,82.50304347826086
2023-06-10,84.04857142857142
2023-06-11,82.28714285714285
2023-06-12,94.53041666666667
2023-06-13,87.19571428571427
2023-06-14,87.74478260869566
2023-06-15,107.22956521739131
2023-06-16,123.91809523809525
2023-06-17,98.48791666666666
2023-06-18,88.37565217391305
2023-06-19,108.36869565217391
2023-06-20,112.80739130434783
2023-06-21,118.75916666666666
2023-06-22,122.085
2023-06-23,110.08875
2023-06-24,95.22421052631579
2023-06-25,99.0721052631579
2023-06-26,97.69761904761906
2023-06-27,99.67291666666667
2023-06-28,106.41
2023-06-29,103.37124999999999
2023-06-30,95.41428571428571
2023-07-01,89.45052631578947
2023-07-02,90.91285714285715
2023-07-03,117.77142857142856
2023-07-04,112.92826086956521
2023-07-05,109.1308
2023-07-06,111.49863636363635
2023-07-07,100.64782608695653
2023-07-08,93.29818181818182
2023-07-09,93.76652173913044
2023-07-10,108.83826086956523
2023-07-11,104.38695652173914
