valid_time,number,tcc_frac,cloudcover_pct
2023-03-28 00:00:00+00:00,0.0,0.60992616,60.99262
2023-03-29 00:00:00+00:00,0.0,0.49181107,49.18111
2023-03-30 00:00:00+00:00,0.0,0.8305355,83.05355
2023-03-31 00:00:00+00:00,0.0,0.9564557,95.64557
2023-04-01 00:00:00+00:00,0.0,0.7517429,75.17429
2023-04-02 00:00:00+00:00,0.0,0.40851855,40.851856
2023-04-03 00:00:00+00:00,0.0,0.6330932,63.309322
2023-04-04 00:00:00+00:00,0.0,0.39696494,39.696495
2023-04-05 00:00:00+00:00,0.0,0.12267405,12.2674055
2023-04-06 00:00:00+00:00,0.0,0.14838032,14.838032
2023-04-07 00:00:00+00:00,0.0,0.102977045,10.297705
2023-04-08 00:00:00+00:00,0.0,0.19702667,19.702667
2023-04-09 00:00:00+00:00,0.0,0.2783146,27.831459
2023-04-10 00:00:00+00:00,0.0,0.46969435,46.969437
2023-04-11 00:00:00+00:00,0.0,0.2358492,23.58492
2023-04-12 00:00:00+00:00,0.0,0.71045095,71.0451
2023-04-13 00:00:00+00:00,0.0,0.7369504,73.695045
2023-04-14 00:00:00+00:00,0.0,0.730153,73.0153
2023-04-15 00:00:00+00:00,0.0,0.23673695,23.673697
2023-04-16 00:00:00+00:00,0.0,1.4944638e-05,0.0014944636
2023-04-17 00:00:00+00:00,0.0,0.23982549,23.98255
2023-04-18 00:00:00+00:00,0.0,0.3768444,37.68444
2023-04-19 00:00:00+00:00,0.0,0.2241773,22.41773
2023-04-20 00:00:00+00:00,0.0,0.24695437,24.695436
2023-04-21 00:00:00+00:00,0.0,0.81574196,81.574196
2023-04-22 00:00:00+00:00,0.0,0.53397554,53.397556
2023-04-23 00:00:00+00:00,0.0,0.4585719,45.85719
2023-04-24 00:00:00+00:00,0.0,0.3766967,37.66967
2023-04-25 00:00:00+00:00,0.0,0.36126184,36.126186
2023-04-26 00:00:00+00:00,0.0,0.6008232,60.082325
2023-04-27 00:00:00+00:00,0.0,0.8324854,83.248535
2023-04-28 00:00:00+00:00,0.0,0.77449876,77.449875
2023-04-29 00:00:00+00:00,0.0,0.8064358,80.64358
2023-04-30 00:00:00+00:00,0.0,0.58836156,58.836163
2023-05-01 00:00:00+00:00,0.0,0.49806032,49.80603
2023-05-02 00:00:00+00:00,0.0,0.92703456,92.70345
2023-05-03 00:00:00+00:00,0.0,0.5580198,55.801975
2023-05-04 00:00:00+00:00,0.0,0.4690294,46.90294
