valid_time,mean_cloud,min_cloud,max_cloud
2023-04-09 00:00:00+00:00,27.831459,1.272224,62.081192
2023-04-10 00:00:00+00:00,46.969437,13.060877,69.121056
2023-04-11 00:00:00+00:00,23.58492,5.7868147,43.97389
2023-04-12 00:00:00+00:00,71.0451,23.007023,91.41929
2023-04-13 00:00:00+00:00,73.695045,41.395622,90.95
2023-04-14 00:00:00+00:00,73.0153,44.82759,93.8445
2023-04-15 00:00:00+00:00,23.673697,0.0066061583,72.54035
2023-04-16 00:00:00+00:00,0.0014944636,0.0,0.010555492
2023-04-17 00:00:00+00:00,23.98255,0.073601216,49.082355
2023-04-18 00:00:00+00:00,37.68444,6.5062394,98.019264
2023-04-19 00:00:00+00:00,22.41773,1.2617403,81.87041
2023-04-20 00:00:00+00:00,24.695436,6.5292177,51.25819
2023-04-21 00:00:00+00:00,81.574196,15.810439,99.63411
2023-04-22 00:00:00+00:00,53.397556,26.059856,93.47846
2023-04-23 00:00:00+00:00,45.85719,24.47535,67.25859
2023-04-24 00:00:00+00:00,37.66967,16.244759,72.26247
2023-04-25 00:00:00+00:00,36.126186,0.9403364,79.009834
2023-04-26 00:00:00+00:00,60.082325,27.262539,99.89204
2023-04-27 00:00:00+00:00,83.248535,54.576736,99.26431
2023-04-28 00:00:00+00:00,77.449875,39.098186,96.82287
2023-04-29 00:00:00+00:00,80.64358,50.828247,99.64133
2023-04-30 00:00:00+00:00,58.836163,1.8637983,100.0
2023-05-01 00:00:00+00:00,49.80603,12.9867735,93.72727
2023-05-02 00:00:00+00:00,92.70345,64.92389,100.0
2023-05-03 00:00:00+00:00,55.801975,25.75734,85.05224
2023-05-04 00:00:00+00:00,46.90294,6.2852926,88.99486
2023-05-05 00:00:00+00:00,43.307022,14.483714,69.52126
2023-05-06 00:00:00+00:00,38.850365,6.3579245,72.930405
2023-05-07 00:00:00+00:00,33.25729,0.64682907,91.69354
2023-05-08 00:00:00+00:00,81.60789,34.188988,97.181755
2023-05-09 00:00:00+00:00,74.22422,52.052753,97.3226
2023-05-10 00:00:00+00:00,49.7963,27.940065,79.15359
2023-05-11 00:00:00+00:00,5.749166,0.0,26.443624
2023-05-12 00:00:00+00:00,5.6957154,0.0,21.3203
2023-05-13 00:00:00+00:00,4.371151,0.0,18.57982
2023-05-14 00:00:00+00:00,18.172298,0.039565142,41.43781
2023-05-15 00:00:00+00:00,33.468838,6.916073,52.397068
2023-05-16 00:00:00+00:00,48.71047,26.140352,61.048115
2023-05-17 00:00:00+00:00,58.591022,27.998728,75.29455
2023-05-18 00:00:00+00:00,23.750002,0.07737104,69.805374
2023-05-19 00:00:00+00:00,8.010204,1.0149788,23.395206
2023-05-20 00:00:00+00:00,85.07831,40.827026,98.47498
2023-05-21 00:00:00+00:00,84.96856,64.835236,96.23076
2023-05-22 00:00:00+00:00,83.30346,56.336956,98.44558
2023-05-23 00:00:00+00:00,78.51425,49.818794,96.169685
2023-05-24 00:00:00+00:00,29.98683,11.616031,53.18004
2023-05-25 00:00:00+00:00,18.917078,6.7074046,43.257374
2023-05-26 00:00:00+00:00,48.475033,17.081335,70.0149
2023-05-27 00:00:00+00:00,70.86698,26.038603,89.2054
2023-05-28 00:00:00+00:00,86.44153,57.9741,96.05742
2023-05-29 00:00:00+00:00,71.99689,54.87513,92.07132
2023-05-30 00:00:00+00:00,58.858906,33.27134,79.36039
2023-05-31 00:00:00+00:00,49.090652,35.101856,63.37108
2023-06-01 00:00:00+00:00,73.21871,54.61587,92.691574
2023-06-02 00:00:00+00:00,60.567135,22.09907,84.40153
2023-06-03 00:00:00+00:00,45.005848,18.924883,75.29171
2023-06-04 00:00:00+00:00,44.424606,13.984015,73.50729
2023-06-05 00:00:00+00:00,45.747086,4.9424114,72.75696
2023-06-06 00:00:00+00:00,89.269356,58.12112,100.0
2023-06-07 00:00:00+00:00,78.11753,52.92527,99.86184
2023-06-08 00:00:00+00:00,69.44347,47.662426,91.3306
2023-06-09 00:00:00+00:00,86.8483,70.58482,97.726974
2023-06-10 00:00:00+00:00,65.45207,22.1358,85.29911
2023-06-11 00:00:00+00:00,52.882156,7.2618194,98.64459
2023-06-12 00:00:00+00:00,55.32326,24.69583,69.654396
2023-06-13 00:00:00+00:00,52.722492,10.319142,80.04588
2023-06-14 00:00:00+00:00,29.152681,0.9954475,86.56609
2023-06-15 00:00:00+00:00,25.614092,3.584918,88.74153
2023-06-16 00:00:00+00:00,52.408146,9.091187,89.48497
2023-06-17 00:00:00+00:00,31.123352,10.922349,97.45659
2023-06-18 00:00:00+00:00,81.14643,42.15817,99.84658
2023-06-19 00:00:00+00:00,61.2498,32.61058,98.50378
2023-06-20 00:00:00+00:00,69.81285,38.41747,97.456055
2023-06-21 00:00:00+00:00,63.45438,2.004574,98.39708
2023-06-22 00:00:00+00:00,14.884113,0.011776195,36.793285
2023-06-23 00:00:00+00:00,2.4978638,0.0,12.304508
2023-06-24 00:00:00+00:00,4.537343,0.0027286306,17.242252
2023-06-25 00:00:00+00:00,6.4217887,0.26690316,19.990162
2023-06-26 00:00:00+00:00,0.29170915,0.0,1.5230426
2023-06-27 00:00:00+00:00,1.6195798,0.0,11.590827
2023-06-28 00:00:00+00:00,3.398653,0.0,11.950791
2023-06-29 00:00:00+00:00,6.278597,0.00068215764,29.677052
2023-06-30 00:00:00+00:00,1.9527197,0.0,19.346817
2023-07-01 00:00:00+00:00,0.1979409,0.0,0.75870293
2023-07-02 00:00:00+00:00,4.5862966,0.0,30.077085
2023-07-03 00:00:00+00:00,3.986426,0.0,18.13394
2023-07-04 00:00:00+00:00,10.322218,0.0,39.17962
2023-07-05 00:00:00+00:00,25.66902,0.79920155,58.47764
2023-07-06 00:00:00+00:00,33.60548,0.79410326,69.17808
2023-07-07 00:00:00+00:00,11.4317465,0.19419952,41.843475
2023-07-08 00:00:00+00:00,36.729687,3.3877385,65.394035
2023-07-09 00:00:00+00:00,7.735621,0.0,29.85951
2023-07-10 00:00:00+00:00,0.14697056,0.0,1.8892894
2023-07-11 00:00:00+00:00,12.750305,0.5461928,61.73476
2023-07-12 00:00:00+00:00,43.91601,13.720596,81.54943
2023-07-13 00:00:00+00:00,6.354934,0.0,32.649822
2023-07-14 00:00:00+00:00,16.141272,0.0,52.60423
2023-07-15 00:00:00+00:00,39.182835,0.0,80.61538
2023-07-16 00:00:00+00:00,6.452682,0.0,27.676641
2023-07-17 00:00:00+00:00,1.6201468,0.0,13.193503
2023-07-18 00:00:00+00:00,17.623186,0.14253505,32.77139
2023-07-19 00:00:00+00:00,9.726826,0.033210304,37.353336
2023-07-20 00:00:00+00:00,9.171761,0.43284696,42.94588
2023-07-21 00:00:00+00:00,19.263346,0.7377355,45.928635
2023-07-22 00:00:00+00:00,13.070426,0.0,44.275837
2023-07-23 00:00:00+00:00,15.739602,1.1331356,28.038582
2023-07-24 00:00:00+00:00,32.437046,0.9876925,83.44267
2023-07-25 00:00:00+00:00,6.705334,0.0,25.302557
2023-07-26 00:00:00+00:00,0.19173115,0.0,3.3339913
2023-07-27 00:00:00+00:00,23.039757,0.761252,63.906322
2023-07-28 00:00:00+00:00,10.77227,3.4628115,16.370886
2023-07-29 00:00:00+00:00,18.887623,0.021362305,42.701633
2023-07-30 00:00:00+00:00,5.7367606,0.0,31.037167
2023-07-31 00:00:00+00:00,2.7598512,0.0,18.344906
2023-08-01 00:00:00+00:00,23.533907,6.5400968,43.855484
2023-08-02 00:00:00+00:00,43.716366,12.735092,76.49134
2023-08-03 00:00:00+00:00,7.5082817,0.0,33.294247
2023-08-04 00:00:00+00:00,2.1097267,0.0,8.866649
