Unnamed: 0,Data,Sunlight (em minutos),avg_price_eur_mwh,temp_C_mean,temp_C_min,temp_C_max,wind_speed_mean,wind_speed_min,wind_speed_max,precip_mm_sum,mean_cloud,min_cloud,max_cloud
41,2023-02-11,633.6,132.75130434782608,8.637021,4.712219,13.489563,4.4002476,3.0338557,5.7788954,0.025251798,64.199135,41.586662,86.29994
42,2023-02-12,636.0,138.7018181818182,10.017143,6.783142,14.016754,3.5913255,2.6333303,4.6312504,0.024749719,58.334682,20.943281,84.904175
43,2023-02-13,638.4,146.58083333333337,11.2748,7.4522705,16.70343,3.1640968,2.208643,4.2558856,0.00051423616,71.8673,39.048393,97.668816
44,2023-02-14,640.8,143.26304347826087,11.502937,6.7944336,16.71875,3.686806,2.6013117,5.216492,0.05197712,58.383816,14.205573,93.93465
45,2023-02-15,643.2,145.94041666666666,12.295947,8.666748,17.50296,3.2566261,2.069711,4.1400185,0.018596184,54.3446,17.415304,86.98867
46,2023-02-16,645.6,144.04125,11.701795,6.0257874,18.459991,2.7990723,2.1957881,3.6636992,0.0,8.903237,0.0,27.832174
47,2023-02-17,648.0,134.61875,12.488093,7.771454,18.41803,3.8364174,2.8566039,5.386812,0.021896644,24.331713,0.0,62.448586
48,2023-02-18,650.4,129.68772727272727,13.115575,10.020599,17.637878,2.7907574,1.7666183,3.4996,0.018270344,49.82786,27.961784,67.25712
49,2023-02-19,653.4,122.89875,13.031405,9.038574,18.083527,2.3651683,1.6071601,3.134041,0.013445405,54.545044,23.9717,78.95196
50,2023-02-20,655.8,135.71,13.2592535,10.408813,17.632294,1.9127833,0.937337,2.8258214,0.101800516,74.59915,45.437443,93.92675
51,2023-02-21,657.6,151.03333333333333,12.0508795,8.327087,16.856537,1.5178102,0.15834945,3.2261004,0.12817803,46.394405,23.323471,63.164997
52,2023-02-22,660.0,144.24583333333334,10.949894,7.7838135,15.215027,2.3495786,1.1787874,3.6221733,0.020028563,59.83214,36.35498,85.479164
53,2023-02-23,663.0,140.34041666666667,7.8246207,3.722046,11.979675,3.9537249,1.7877278,5.4531455,0.015347144,24.958609,6.630429,61.697746
54,2023-02-24,665.4,149.10375,5.573755,0.07543945,11.890961,1.5557137,0.5382747,3.4542134,0.05581379,39.70503,6.3753734,61.965836
55,2023-02-25,667.8,142.1625,6.449015,1.6178894,10.853363,1.6125932,0.5559011,3.3438005,0.068346195,68.16183,34.870354,98.45498
56,2023-02-26,670.8,107.0835,8.945386,4.6912537,14.30722,1.7847067,0.45983452,3.2814214,0.01121549,38.023937,1.9662656,75.979324
57,2023-02-27,673.2,120.8859090909091,7.4546103,3.3800354,12.278778,1.8624082,1.1386801,3.0615392,0.0011275796,27.991941,7.9171934,56.04672
58,2023-02-28,675.0,134.30347826086955,6.493383,1.0180664,12.523926,2.009127,1.2652402,2.524411,2.337437e-06,23.586319,0.8253389,60.48634
59,2023-03-01,678.0,145.94,5.805181,0.10366821,11.625824,1.9198303,1.1132872,2.5864909,0.00013183145,16.061626,0.0,63.96438
60,2023-03-02,680.4,144.5742857142857,6.599388,-0.91290283,13.949921,1.1813698,0.34990776,2.127789,2.8049244e-06,5.610251,0.039744657,27.374088
61,2023-03-03,683.4,143.44791666666666,7.975305,0.32724,15.789886,1.2020742,0.4198987,1.8889933,0.0,40.748653,5.2138743,64.77776
62,2023-03-04,685.2,138.5304255319149,9.823597,3.9866638,15.710999,1.6028062,0.50723517,2.3959663,0.11164114,54.822285,16.788904,86.644104
63,2023-03-05,688.2,144.12875,9.614063,7.803192,12.174316,2.3092167,1.1175442,3.7940924,0.6023748,89.300865,66.14466,98.581764
64,2023-03-06,690.6,147.31666666666666,11.669605,9.069214,13.934143,2.859492,1.7524179,4.438669,0.323326,98.35717,96.35606,99.90874
65,2023-03-07,693.6,119.56,13.321818,9.767975,17.019592,3.3435962,2.2892232,4.485579,0.18272866,91.73163,73.909584,99.6968
66,2023-03-08,695.4,99.49391304347829,15.049243,13.543976,17.342834,4.7890716,3.7492774,6.30274,0.9955499,98.60999,95.18145,99.81851
67,2023-03-09,698.4,71.33217391304348,15.262723,13.062775,18.207092,4.668482,2.8510737,6.253144,0.4398547,85.3218,51.515644,99.25117
68,2023-03-10,701.4,45.369565217391305,14.865546,12.095673,19.162811,2.4726849,1.6603712,3.4570885,0.055527687,84.92132,41.156437,97.383965
69,2023-03-11,703.8,36.392857142857146,15.332535,13.124878,18.522064,2.5819309,1.3585554,4.2018347,0.042720404,88.7387,73.76332,99.24065
70,2023-03-12,706.2,79.76041666666667,14.477101,9.54303,20.55597,0.961901,0.45366848,1.8237158,0.0025641685,91.49134,63.06504,99.62887
71,2023-03-13,708.6,40.15285714285714,12.965438,9.4198,17.458557,3.3331082,0.8114863,5.905735,0.09084543,51.404877,16.324535,93.353775
72,2023-03-14,711.6,71.22318181818183,12.033418,6.9816895,17.603943,2.1494148,1.216396,2.8476791,0.0007465774,39.84016,0.45794317,67.48442
73,2023-03-15,714.6,131.98875,13.938994,6.4626465,22.832184,1.6359571,0.29315597,2.4016275,0.00012107924,13.067828,0.0,45.425667
74,2023-03-16,716.4,88.72260869565217,13.675502,7.8012695,19.956757,2.3237684,0.58016974,4.0187964,0.13578592,84.90412,25.619757,100.0
75,2023-03-17,719.4,73.49260869565217,12.71902,10.227295,15.725708,3.6337192,2.4131548,5.3937974,0.34348541,69.566734,50.745422,91.60982
76,2023-03-18,722.4,101.55666666666669,12.266786,8.824249,16.651947,2.830637,1.4818202,4.493289,0.058259685,60.122467,26.426104,88.90126
77,2023-03-19,724.2,99.10909090909092,13.084518,7.146179,19.939941,1.7903137,0.60983163,2.7194002,2.4309345e-05,38.84431,11.381657,62.35481
78,2023-03-20,727.2,121.43041666666666,14.330529,7.7050476,21.742828,1.8130941,1.2257239,2.506924,0.00026319543,65.45861,23.424072,90.11022
79,2023-03-21,730.2,118.8475,14.072198,8.147186,20.994812,2.0314953,1.3416271,3.1530206,0.00031415155,40.456192,1.3281609,93.39841
80,2023-03-22,733.2,100.8425,13.228839,7.6496887,19.71518,1.5596886,0.5744746,2.8344462,0.0009611541,66.93868,37.070457,94.85796
81,2023-03-23,736.2,82.43652173913043,12.788689,7.523712,18.052582,1.9848529,0.3545595,3.753216,0.08098003,71.03863,31.11425,99.92798
82,2023-03-24,738.0,62.16217391304348,14.148,10.684143,18.511597,2.7589138,1.531923,3.9416401,0.08856642,68.56992,20.731417,98.52547
83,2023-03-25,741.0,43.54434782608696,13.701777,7.316559,20.688324,1.843042,0.052549426,3.776812,0.0479773,67.53251,27.529694,93.992165
84,2023-03-26,744.0,44.44611111111111,14.383999,10.745392,19.72818,2.7424777,1.9244245,3.770798,0.004701521,70.26247,33.893826,90.56655
85,2023-03-27,745.8,107.62869565217392,14.9856825,7.480896,23.545654,1.7484185,0.92000294,2.5826313,2.8049244e-05,39.687515,0.3004366,88.412834
86,2023-03-28,748.8,111.05130434782608,17.61003,9.225342,26.667816,1.5842285,0.4335525,2.2626147,0.0,60.99262,4.5438876,84.86981
87,2023-03-29,751.2,71.44285714285714,17.59715,10.615204,25.184235,2.2336612,0.62419474,4.298193,0.01709134,49.18111,5.9716797,91.508934
88,2023-03-30,753.6,32.3125,16.063757,12.62442,21.44458,2.816078,1.1759927,4.8025527,0.051817708,83.05355,62.82428,98.34422
89,2023-03-31,756.6,21.38347826086957,15.351642,11.993591,19.549591,3.6178493,2.369935,4.859328,0.02781116,95.64557,60.090584,99.60643
90,2023-04-01,759.0,33.09,14.060272,10.124908,18.052124,2.9228313,1.7104672,4.5186605,0.0632861,75.17429,39.88181,98.97081
91,2023-04-02,761.4,21.854736842105265,14.710368,8.465057,21.515747,2.4714587,1.9290597,3.0056224,0.00020896687,40.851856,6.1024384,71.31297
